Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
TrainCasesforReview1|homeless/marginally housed/temporarily housed/at risk of homelessness|1.0|1.0|28.0|0.0|0.96666664|1.0|0.9655172|0.6666667|1.0|0.0|29.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|29.0|0.0|1.0|1.0|1.0|1.0
TrainCasesforReview1|lives at home/not homeless|15.0|1.0|5.0|9.0|0.6666667|0.625|0.8333333|0.75|15.0|0.0|6.0|9.0|0.7|0.625|1.0|0.7692308|14.0|1.0|5.0|10.0|0.6333333|0.5833333|0.8333333|0.71794873
TrainCasesforReview1|lives in a facility|2.0|3.0|25.0|0.0|0.9|1.0|0.89285713|0.5714286|2.0|1.0|27.0|0.0|0.96666664|1.0|0.96428573|0.8|1.0|2.0|26.0|1.0|0.9|0.5|0.9285714|0.4
TrainCasesforReview1|lives in a permanent single room occupancy|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview1|does not live alone|5.0|1.0|9.0|15.0|0.46666667|0.25|0.9|0.3846154|5.0|0.0|10.0|15.0|0.5|0.25|1.0|0.4|5.0|0.0|10.0|15.0|0.5|0.25|1.0|0.4
TrainCasesforReview1|living alone|5.0|3.0|21.0|1.0|0.8666667|0.8333333|0.875|0.71428573|5.0|3.0|21.0|1.0|0.8666667|0.8333333|0.875|0.71428573|5.0|3.0|21.0|1.0|0.8666667|0.8333333|0.875|0.71428573
TrainCasesforReview1|has access to community services|0.0|4.0|26.0|0.0|0.8666667|0.0|0.8666667|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview1|no social support|0.0|4.0|25.0|1.0|0.8333333|0.0|0.86206895|0.0|0.0|1.0|28.0|1.0|0.93333334|0.0|0.9655172|0.0|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0
TrainCasesforReview1|has social support|21.0|0.0|6.0|3.0|0.9|0.875|1.0|0.93333334|21.0|0.0|6.0|3.0|0.9|0.875|1.0|0.93333334|22.0|0.0|6.0|2.0|0.93333334|0.9166667|1.0|0.95652175
Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
